1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301115461,Hand washing,Operator and Patient Preparation,10/11/2018 23:00:55,10/11/2018 23:01:07,55,67
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301145312,Ultrasound configuration,Ultrasound Preparation,10/11/2018 23:01:24,10/11/2018 23:02:17,84,137
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301204591,Anatomic identification,Locate Structures,10/11/2018 23:02:23,10/11/2018 23:02:23,143,143
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301214887,Compression identification,Locate Structures,10/11/2018 23:02:34,10/11/2018 23:02:34,154,154
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301252286,Gel in probe,Ultrasound Preparation,10/11/2018 23:03:11,10/11/2018 23:03:18,191,198
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301297253,Get in sterile clothes,Operator and Patient Preparation,10/11/2018 23:03:56,10/11/2018 23:04:04,236,244
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301310093,Hand washing,Operator and Patient Preparation,10/11/2018 23:04:09,10/11/2018 23:04:14,249,254
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301317097,Get in sterile clothes,Operator and Patient Preparation,10/11/2018 23:04:16,10/11/2018 23:07:06,256,426
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301466782,Clean puncture area,Operator and Patient Preparation,10/11/2018 23:07:25,10/11/2018 23:08:06,445,486
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301504204,Drap puncture area,Operator and Patient Preparation,10/11/2018 23:08:14,10/11/2018 23:09:12,494,552
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301584135,Cover probe,Ultrasound Preparation,10/11/2018 23:09:43,10/11/2018 23:11:12,583,672
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301692790,Put sterile gel,Ultrasound Preparation,10/11/2018 23:11:32,10/11/2018 23:11:44,692,704
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301720926,Anatomic identification,Locate Structures,10/11/2018 23:12:00,10/11/2018 23:12:00,720,720
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301727414,Ultrasound configuration,Ultrasound Preparation,10/11/2018 23:12:06,10/11/2018 23:12:13,726,733
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301770041,Prepare implements,Operator and Patient Preparation,10/11/2018 23:12:49,10/11/2018 23:14:15,769,855
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301834062,Anesthetize,Venous puncture,10/11/2018 23:14:25,10/11/2018 23:14:31,865,871
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301933206,Anatomic identification,Locate Structures,10/11/2018 23:15:14,10/11/2018 23:15:14,914,914
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301939311,Puncture,Venous puncture,10/11/2018 23:15:20,10/11/2018 23:17:36,920,1056
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301963844,Ultrasound configuration,Ultrasound Preparation,10/11/2018 23:15:45,10/11/2018 23:16:04,945,964
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302077785,Blood return,Venous puncture,10/11/2018 23:17:39,10/11/2018 23:17:39,1059,1059
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302084048,Drop probe,Install Guidewire,10/11/2018 23:17:45,10/11/2018 23:17:45,1065,1065
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302087496,Remove syringe,Install Guidewire,10/11/2018 23:17:48,10/11/2018 23:17:48,1068,1068
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302102889,Guidewire install,Install Guidewire,10/11/2018 23:18:04,10/11/2018 23:18:18,1084,1098
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302127075,Check wire in short axis,Install Guidewire,10/11/2018 23:18:28,10/11/2018 23:18:31,1108,1111
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302145843,Check wire in long axis,Install Guidewire,10/11/2018 23:18:47,10/11/2018 23:18:47,1127,1127
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302161655,Remove trocar,Install Guidewire,10/11/2018 23:19:02,10/11/2018 23:19:08,1142,1148
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302177557,Check wire in short axis,Install Guidewire,10/11/2018 23:19:18,10/11/2018 23:19:32,1158,1172
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302192667,Check wire in long axis,Install Guidewire,10/11/2018 23:19:33,10/11/2018 23:20:00,1173,1200
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302230084,Widen pathway,Install Catheter,10/11/2018 23:20:11,10/11/2018 23:20:39,1211,1239
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302267699,Advance catheter,Install Catheter,10/11/2018 23:20:48,10/11/2018 23:22:15,1248,1335
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302354734,Remove guidewire,Install Catheter,10/11/2018 23:22:15,10/11/2018 23:22:17,1335,1337
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302360872,Check flow and reflow,Install Catheter,10/11/2018 23:22:22,10/11/2018 23:22:39,1342,1359
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302393311,Check catheter position,Install Catheter,10/11/2018 23:22:54,10/11/2018 23:22:54,1374,1374
